beta,c_max,k_c,f0,k_f,sse,peak,late_mean
0.05,300.0,0.02,0.15,0.15,4990.996221745694,108.08400522727453,107.0415836544812
0.06,300.0,0.02,0.12,0.15,4994.9506339545005,112.59390808431883,111.34765156195054
0.07,400.0,0.015,0.15,0.2,4995.385293581829,115.8586458026062,114.60240370639131
0.06,350.0,0.02,0.12,0.2,4997.768183588496,110.33313180818548,109.10911377442595
0.06,300.0,0.01,0.1,0.1,4999.926398517386,109.49467532782317,108.44625698409553
0.06,300.0,0.02,0.12,0.25,5016.75565480131,110.87480969498085,109.62650304270761
0.05,300.0,0.015,0.15,0.15,5022.637332315446,106.96836885364738,105.99023090715116
0.07,450.0,0.015,0.1,0.25,5023.11163579117,109.11115288182262,107.87761245212423
0.06,400.0,0.02,0.12,0.1,5050.653087528362,112.40472789162645,111.2073098006932
0.07,450.0,0.015,0.15,0.15,5055.884898967452,115.76367840401845,114.55402032769845
0.07,350.0,0.015,0.1,0.15,5067.842709494275,113.93740701273762,112.62823547352035
0.06,450.0,0.02,0.12,0.15,5075.846893582324,109.05921066109839,107.88280297250954
0.05,400.0,0.01,0.15,0.1,5077.541574143828,104.98394444221302,104.19400949305452
0.07,450.0,0.02,0.1,0.2,5082.086350927995,112.03169088906931,110.6650280787377
0.06,450.0,0.02,0.15,0.1,5088.433790173233,114.4675197699845,113.29933167129067
0.06,300.0,0.015,0.12,0.1,5092.760606754593,113.4237744619033,112.25966557121578
0.07,300.0,0.015,0.1,0.25,5101.118171828073,113.93189928530143,112.5765982479142
0.06,350.0,0.015,0.12,0.25,5102.9483599531895,108.14759197470109,107.0129414118959
0.07,300.0,0.01,0.15,0.25,5104.072321526048,116.1313678887218,114.93412364002066
0.07,450.0,0.02,0.1,0.15,5104.677391616076,113.05327433234578,111.68892939283664
0.05,300.0,0.01,0.15,0.15,5106.68174260082,105.52557699782405,104.64458056668298
0.05,450.0,0.02,0.15,0.1,5108.359768125031,107.40868094523263,106.42480928015439
0.06,350.0,0.02,0.12,0.25,5108.729131219379,109.70174522147575,108.476932876885
0.07,450.0,0.01,0.1,0.25,5114.605298495854,106.14240255061557,105.10874127488918
0.06,350.0,0.01,0.1,0.1,5117.471485814481,107.82796066614468,106.83266704637654
0.06,450.0,0.015,0.12,0.15,5119.0814095411615,107.07682971693534,106.01456454837248
0.06,400.0,0.02,0.12,0.2,5119.200978046039,109.16591534706734,107.96508433197093
0.07,450.0,0.02,0.12,0.15,5131.14225298539,115.09651971570167,113.73726475391928
0.06,450.0,0.005,0.15,0.25,5136.3887579234,101.73102823415918,101.09342057016158
0.07,450.0,0.02,0.1,0.25,5136.638538536305,111.42947021898566,110.06148151234532
0.07,400.0,0.02,0.12,0.2,5138.395470558768,115.2334298173898,113.84424692979236
0.07,400.0,0.02,0.1,0.25,5140.05983240818,112.78318811801428,111.38857424159058
0.07,400.0,0.02,0.1,0.2,5149.650647683091,113.39251569765769,111.99918247643768
0.06,350.0,0.005,0.12,0.2,5153.6956850083125,104.1400532159667,103.34551356613878
0.06,400.0,0.015,0.12,0.2,5155.015985141892,107.40020472681043,106.30145911511525
0.06,300.0,0.02,0.15,0.15,5168.404122580813,115.32157402996803,114.0792665298321
0.05,350.0,0.02,0.15,0.15,5177.169569918467,107.10414732577473,106.08123641666381
0.06,300.0,0.015,0.1,0.1,5181.179901191893,111.26297259565064,110.09479702280521
0.06,350.0,0.005,0.1,0.1,5183.785981656605,105.18702278586414,104.39632235616247
0.07,300.0,0.01,0.12,0.15,5187.776058521915,115.53390129677247,114.33415138966943
0.07,300.0,0.015,0.1,0.2,5188.545218618517,114.54705633478959,113.19333997135921
0.07,300.0,0.015,0.12,0.25,5188.71941886131,115.65669160136811,114.305953538842
0.06,350.0,0.01,0.12,0.25,5191.049796678334,106.14430043952632,105.14508792791004
0.06,350.0,0.015,0.1,0.1,5195.481837868622,109.86241154318151,108.72984602173537
0.06,300.0,0.01,0.15,0.1,5202.6854500012,114.88129682744308,113.84909309950672
0.05,450.0,0.015,0.15,0.1,5203.948948687663,105.75024689816983,104.86102156723906
0.06,350.0,0.02,0.12,0.1,5211.823307824002,113.60543183358527,112.38452644982377
0.06,300.0,0.01,0.1,0.15,5223.920037866986,107.72111014801415,106.6691275019285
0.06,400.0,0.005,0.12,0.15,5226.778190538929,103.18293464406406,102.46907736614084
0.07,350.0,0.015,0.15,0.25,5240.0967680166505,116.59559251553495,115.29474925216222
0.07,400.0,0.015,0.1,0.1,5244.8454625895265,114.3996295812706,113.13658968325826
0.06,300.0,0.015,0.1,0.15,5249.362992099219,109.46107192702593,108.2909915108447
0.07,450.0,0.015,0.12,0.1,5254.7630108899275,115.22361343592627,114.00984957506199
0.07,350.0,0.02,0.1,0.25,5261.984105367479,114.15326741461331,112.73157305544564
0.07,450.0,0.005,0.1,0.2,5266.72753045858,102.87697026128401,102.14087199597304
0.07,450.0,0.02,0.15,0.2,5272.353208386436,116.62896905539546,115.27391804393048
0.05,350.0,0.015,0.15,0.15,5276.60711165937,105.8154256931518,104.86660285953141
0.07,400.0,0.02,0.1,0.15,5280.334330295668,114.4261340509058,113.0350426150089
0.05,300.0,0.02,0.15,0.2,5284.888924578801,106.96594146316484,105.92283668527433
0.06,400.0,0.02,0.12,0.25,5285.725419334469,108.54101394041182,107.33933271011753
0.05,300.0,0.005,0.15,0.15,5286.939286169964,103.64382469780737,102.90878278918994
0.06,300.0,0.005,0.1,0.15,5305.978491178396,105.4555754424987,104.580398178423
0.07,350.0,0.02,0.12,0.25,5308.929680016764,115.88194521492665,114.46383120830674
0.06,350.0,0.015,0.15,0.1,5321.97577208214,115.26858589651941,114.14822731006399
0.06,400.0,0.015,0.1,0.1,5322.604780458287,108.47938485024557,107.381714545708
0.06,450.0,0.02,0.12,0.2,5324.799567767321,108.0109694493113,106.83296607723695
0.06,300.0,0.02,0.1,0.15,5325.466031643271,110.80775502099786,109.55934163868372
0.06,400.0,0.01,0.12,0.2,5326.477932754227,105.129502706078,104.18357168617732
0.07,300.0,0.005,0.15,0.15,5327.074850874968,115.80657340658256,114.84216678669411
0.07,350.0,0.02,0.1,0.2,5337.682457195413,114.76978532540184,113.34932506969537
0.06,450.0,0.01,0.12,0.15,5337.975696274126,104.53338265430827,103.6414025678906
0.06,350.0,0.02,0.1,0.1,5340.140508899687,111.4406385767433,110.21673037429537
0.07,350.0,0.015,0.12,0.15,5346.535505264358,115.99545513535051,114.69261845557506
0.05,400.0,0.005,0.15,0.1,5354.121576664395,102.4953461446031,101.89618355090579
0.07,300.0,0.005,0.12,0.1,5369.940301283996,115.26691340589772,114.29722032718885
