beta,tau_r,r_max,c_max,k_c,l2,l3,t1,t2,f0,t_hold,t_switch,k1,k2,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.075,8,550.0,400.0,0.003,1450.0,1100.0,20,55,0.15,8,38,0.05,0.25,3837.9039400488095,110.50446639724139,108.68972107492262,104.01245030476083,4.083106877036413,250.2846494728106,5767.608767026395
0.075,10,550.0,400.0,0.002,1450.0,1100.0,20,55,0.16,8,32,0.05,0.3,3985.119487645823,110.81525784447595,108.84626626625125,103.72483039763509,4.235486528810051,234.3197680791041,5775.675224119877
0.075,10,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,10,32,0.05,0.3,3999.7470712270183,110.75670519461158,108.79042763568705,103.67594764180038,4.082801566255534,232.25287884925086,5777.960708906097
0.075,10,550.0,400.0,0.002,1450.0,1150.0,25,55,0.15,8,32,0.05,0.25,3755.4052853254743,109.96223347225677,108.34732088622718,104.1469976436387,4.082801566255534,259.1841471306021,5780.66044625452
0.075,8,550.0,400.0,0.002,1450.0,1150.0,20,60,0.15,8,35,0.05,0.3,3585.06682736321,109.4240751902927,108.85034377877234,104.59070634207603,4.082801566255534,279.3639883663735,5780.875860841053
0.075,8,550.0,400.0,0.002,1450.0,1200.0,25,55,0.15,8,32,0.05,0.3,3538.1004124121296,108.99264725263012,107.72640840429456,104.45868284294815,4.082801566255534,280.20126996618757,5782.97100170154
0.075,8,550.0,400.0,0.003,1450.0,1100.0,20,55,0.16,8,32,0.05,0.3,3865.067854358367,110.48270623823805,108.65607252760026,103.98046645105934,4.235792064029176,248.88447608870825,5783.339814896583
0.075,8,550.0,400.0,0.002,1450.0,1100.0,25,60,0.15,8,35,0.05,0.25,3796.899043436147,110.15081858654617,109.45272199310791,104.25692486211317,4.082801566255534,257.40984076032066,5783.989946524822
0.075,8,550.0,400.0,0.002,1500.0,1100.0,20,60,0.15,8,32,0.05,0.25,3734.099170897083,110.40045251250997,109.69772626239933,104.47068470091891,4.082801566255534,266.99079760572494,5788.659939810384
0.075,8,550.0,400.0,0.002,1450.0,1150.0,25,60,0.15,8,32,0.05,0.25,3602.5746051940837,109.40327362802691,108.8301786739911,104.57335920567664,4.082801566255534,278.5609355594486,5793.0383775225455
0.075,8,550.0,400.0,0.003,1450.0,1100.0,20,60,0.15,8,35,0.05,0.3,3673.955157060202,109.91337968243447,109.26656856350898,104.51726871892988,4.083106877036413,272.89833947227237,5794.0854826188415
0.075,8,550.0,400.0,0.003,1450.0,1100.0,20,55,0.15,10,32,0.05,0.3,3888.9678306007736,110.42418062721089,108.60018950486801,103.93133778464089,4.083106877036413,246.74187226047732,5794.5025971126215
0.075,8,550.0,400.0,0.003,1500.0,1100.0,25,55,0.15,8,32,0.05,0.3,3852.2318009033556,110.57826232502178,108.74730756896228,104.060669493128,4.083106877036413,252.40217856887665,5795.626693450207
0.075,8,550.0,400.0,0.003,1450.0,1150.0,20,60,0.15,8,32,0.05,0.3,3474.5535499380358,109.13748094447517,108.61593477831721,104.80900167117026,4.083106877036413,293.5189120642291,5798.221631665273
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,60,0.15,8,38,0.05,0.25,3784.392887903983,110.26736845133762,109.56828863126555,104.35921760224522,4.082801566255534,261.9730918704055,5803.522611913592
