f0,t_hold,t_switch,k1,k2,sse,peak,mid_mean,late_mean,jump_pct,loss
0.16,10,45,0.05,0.12,14439.065522952682,122.59775094351875,121.91803908607751,116.4554845397275,4.520652702501038,19225.43077750682
0.16,12,35,0.05,0.16,14840.61284720564,122.2304601275021,121.47696124080127,115.86529193665827,4.520652702501038,19305.369567697395
0.16,8,40,0.04,0.16,14635.311365505086,122.56732354912569,121.82603141906274,116.20343478573167,4.520652702501038,19309.631925153546
0.16,10,50,0.05,0.2,14546.02699698986,122.81831105038027,122.09218397299762,116.45189605009499,4.520652702501038,19379.712770352977
0.16,10,35,0.04,0.2,14958.831469960785,122.27497231212884,121.50955814194637,115.86988446252654,4.520652702501038,19434.17797542897
0.18,8,40,0.05,0.3,15070.92532758816,122.34186022807144,121.56925502358237,115.9118994729777,4.847125499332305,19574.237112815925
0.16,10,50,0.05,0.16,14698.297368304267,122.94657540149919,122.25082419014231,116.67191946810021,4.520652702501038,19653.769740735486
0.18,8,40,0.05,0.24,15331.968403544433,122.60632846786832,121.83311302381476,116.14721362730134,4.847125499332305,19987.447348337686
0.16,12,40,0.05,0.3,15408.291061096394,122.61659539790347,121.83942892557505,116.14746398972521,4.520652702501038,20068.351165308322
0.16,10,50,0.05,0.12,14931.674440254616,123.1066365660302,122.46018192912152,117.03029170828549,4.520652702501038,20075.658212952025
0.16,8,45,0.04,0.3,15190.110357057294,123.0652992472943,122.28564810791336,116.54157529095872,4.520652702501038,20112.928371973936
0.18,8,35,0.05,0.12,15353.413639786735,122.73302614876911,122.00219303449053,116.40953467095419,4.847125499332305,20145.87222706956
0.18,8,40,0.05,0.2,15584.647715660918,122.86173855455273,122.09148198485066,116.3848696182239,4.847125499332305,20394.35235951947
0.16,8,40,0.04,0.12,15305.394512594807,123.20517481925735,122.50341822916047,116.936863984442,4.520652702501038,20429.94869009641
0.16,10,35,0.04,0.16,15629.300131711942,122.89167281123375,122.13001095186883,116.44023703137873,4.520652702501038,20471.554566626815
0.16,8,45,0.04,0.24,15418.992948976822,123.31721157859457,122.54454460033874,116.78326148622881,4.520652702501038,20502.26408628751
0.16,12,40,0.05,0.24,15696.987803396712,122.9043498430541,122.12651338617884,116.40344463139999,4.520652702501038,20525.970229532064
0.16,8,35,0.03,0.3,15842.705473598455,122.74572601982581,121.96536640718227,116.25617147618158,4.520652702501038,20575.361909460065
0.16,12,35,0.05,0.12,15722.38418640626,123.04229801251981,122.31058127100641,116.6889281493908,4.520652702501038,20703.29076033196
0.16,8,45,0.04,0.2,15640.9796575612,123.54984567476147,122.789965634184,117.02713912331362,4.520652702501038,20884.13511710399
0.16,12,40,0.05,0.2,15976.817606542028,123.18229586274352,122.40767417316735,116.66201567776815,4.520652702501038,20977.22261163361
0.18,8,40,0.05,0.16,15948.644977090225,123.22054224824267,122.4614990180728,116.74457075527147,4.847125499332305,20990.917903240454
0.16,8,45,0.04,0.16,15961.084493118316,123.86011059597045,123.12747558328984,117.39512983566837,4.520652702501038,21440.415792094613
0.16,8,35,0.03,0.24,16458.47957546848,123.26872716412117,122.48195970393132,116.7096054854902,4.520652702501038,21498.04264737408
0.18,8,45,0.05,0.3,16334.879254777536,123.54983590406985,122.7603660306982,116.95345302884088,4.847125499332305,21541.626529223435
0.16,10,40,0.04,0.3,16471.985835630872,123.46939039163784,122.67799039402436,116.87829633573021,4.520652702501038,21629.83181338457
0.16,12,40,0.05,0.16,16380.574573732338,123.57283618303451,122.81041507435216,117.05345434850945,4.520652702501038,21639.839126442275
0.16,12,35,0.04,0.3,16661.839829307482,123.17732157902081,122.38950268223508,116.62557239611837,4.520652702501038,21644.766707593797
0.18,10,35,0.05,0.3,16747.30065764543,123.08650246975851,122.3001258166685,116.54760538199426,4.847125499332305,21674.277941047778
0.18,8,45,0.05,0.24,16518.165028236268,123.74631522753751,122.96227900133985,117.14188065966646,4.847125499332305,21853.817684796606
0.18,8,40,0.05,0.12,16517.362083262244,123.74412600188833,123.01744921648677,117.34614169648671,4.847125499332305,21942.97078095832
0.16,8,50,0.04,0.3,16372.121686212695,124.35695365194682,123.57362074320847,117.68212008015323,4.520652702501038,22100.784132613982
0.18,8,45,0.05,0.2,16695.21990821096,123.92768523415047,123.15360036774719,117.33193289667426,4.847125499332305,22158.677373848277
0.16,10,35,0.04,0.12,16701.705698465223,123.84007830238218,123.10385429718356,117.40207663995184,4.520652702501038,22177.381570302725
0.16,10,40,0.04,0.24,16844.734058665905,123.82321519715751,123.03096831661674,117.19285177176388,4.520652702501038,22223.04798994525
0.16,12,45,0.05,0.3,16808.637488186934,123.93128558943823,123.13573254921243,117.280760409652,4.520652702501038,22251.55597969458
0.16,8,45,0.04,0.12,16460.314162821593,124.28311958791443,123.60677971579382,118.00467234536683,4.520652702501038,22317.95211061218
0.18,10,35,0.05,0.24,17201.532464218337,123.46636478520726,122.67532339596877,116.87686999107613,4.847125499332305,22355.509801332166
0.16,8,50,0.04,0.24,16543.487458681,124.52613288004326,123.76430939766524,117.88567009445397,4.520652702501038,22409.037937843903
0.16,8,35,0.03,0.2,17065.571548258693,123.78710529444918,122.99747285428585,117.16853368346509,4.520652702501038,22424.649166453433
0.16,12,35,0.04,0.24,17227.639355792064,123.64737896115398,122.85378417827053,117.03298056829277,4.520652702501038,22494.0379599868
0.16,12,45,0.05,0.24,17012.62756056051,124.14523303790823,123.35559133796576,117.48588527607137,4.520652702501038,22599.45336263498
0.18,8,45,0.05,0.16,16949.290917211598,124.16947082668065,123.41658122406031,117.6185465754224,4.847125499332305,22600.447199851173
0.16,12,40,0.05,0.12,17012.886445383516,124.14289304519846,123.41571541809799,117.7083228958504,4.520652702501038,22699.62795954413
0.16,8,50,0.04,0.2,16709.173691997024,124.67098618679107,123.93528117516136,118.09052544870518,4.520652702501038,22707.294861239305
0.16,10,40,0.04,0.2,17207.347019444027,124.16514253080872,123.37683026026703,117.51073816160074,4.520652702501038,22810.105394770944
0.16,12,45,0.05,0.2,17209.871974903162,124.34275162309805,123.56394364246171,117.6928059264181,4.520652702501038,22939.462373102724
0.18,8,35,0.04,0.3,17682.947606393467,123.77465754312314,122.97656075552013,117.13677032055293,4.847125499332305,23022.008092275446
0.18,8,50,0.05,0.3,17215.26250099307,124.49440923255534,123.70210906622079,117.78711812667461,4.847125499332305,23022.92426044449
