l_early,l_late,t_late,tau_b,b_slope,b_max,sse,peak,late_mean,loss
1550.0,1350.0,30,15,35.0,300.0,3632.353439425291,101.99383672866426,101.55544869691391,4013.6526472208243
1550.0,1400.0,20,15,25.0,300.0,3629.492884219169,103.37198676336712,102.79363766075488,4014.855878864992
1600.0,1450.0,20,12,35.0,350.0,3633.8651021146266,103.16382671200886,102.58359167727293,4015.589554783012
1600.0,1400.0,20,15,30.0,350.0,3633.600190268339,101.68765291381305,101.24608270279128,4016.0518101693788
1550.0,1450.0,25,15,40.0,350.0,3631.2988160565747,103.37827866332354,102.79998665881264,4016.782737803909
1600.0,1350.0,20,15,25.0,300.0,3636.6804143705062,101.67604718357845,101.23435661375431,4019.205694715651
1600.0,1450.0,20,10,35.0,300.0,3593.7911744430025,105.04566790990054,104.32610923626105,4021.3321483860823
1550.0,1450.0,30,15,30.0,400.0,3640.4438097670645,101.9503929965036,101.51155264868729,4021.813747523298
1600.0,1400.0,30,10,30.0,350.0,3640.478708012412,101.85426731462962,101.41442709488192,4022.1142031477784
1550.0,1450.0,30,12,35.0,300.0,3578.487222492443,105.42265591273632,104.7060379427691,4023.8859032954065
1600.0,1450.0,20,10,25.0,350.0,3645.617204700648,103.16733874935711,102.58713548391493,4027.397214888144
1600.0,1400.0,25,10,40.0,300.0,3644.332952842752,103.26488148322197,102.6855612560177,4027.735981351793
1600.0,1350.0,30,10,40.0,300.0,3649.467094324117,101.89614551517992,101.45674074058796,4030.9684299095734
1600.0,1400.0,20,12,35.0,300.0,3650.0527942935296,103.11551570680344,102.53484383253269,4031.033319011266
1600.0,1350.0,25,12,30.0,300.0,3648.856039651378,101.71139706610722,101.27007315626186,4031.1637800931403
1600.0,1350.0,30,12,25.0,350.0,3628.276480644272,100.5419788382738,100.23913546578777,4033.045318895543
1600.0,1450.0,25,10,35.0,350.0,3655.2259494218197,103.20250044449841,102.62261534005522,4037.5732210157485
1550.0,1450.0,25,12,30.0,300.0,3601.8166203157652,105.24614677339395,104.52814954217042,4038.5675506276466
1550.0,1400.0,30,12,35.0,300.0,3654.1750283405718,103.44062115741662,102.86289519820703,4040.8918581587714
1550.0,1450.0,30,12,40.0,300.0,3603.9349740413504,105.33097253667083,104.61363761656355,4044.77879853941
1550.0,1450.0,30,10,25.0,300.0,3602.3671950250887,105.37357694883505,104.65657504730466,4045.3106822167515
1600.0,1400.0,30,15,40.0,400.0,3639.0231058619934,100.46499847297862,100.1612514160891,4045.6108904404855
1550.0,1350.0,30,15,40.0,300.0,3665.210925088559,101.90410906273989,101.46478712023293,4046.68997531857
1600.0,1400.0,25,12,30.0,350.0,3665.809720905078,101.66608414579184,101.224290268094,4048.3999823344975
1600.0,1450.0,25,12,30.0,400.0,3665.8222473982682,101.66611210201133,101.22431851417508,4048.4123242336336
1600.0,1450.0,30,12,40.0,400.0,3667.00626891367,101.72258386185139,101.28137602165683,4049.249398341558
1600.0,1450.0,20,10,40.0,300.0,3626.130725219489,104.9551160509854,104.23485389671596,4049.72520631329
1550.0,1450.0,30,12,30.0,350.0,3666.3564706988554,103.36713424683698,102.78874111206603,4051.62664122987
1600.0,1350.0,25,15,25.0,350.0,3645.867366800614,100.41350284446008,100.10915174626292,4053.7258052711654
1550.0,1450.0,20,12,25.0,300.0,3623.3179586446913,105.12771024535532,104.40878990468127,4054.5492406545955
1550.0,1450.0,25,12,25.0,350.0,3671.2266881048845,103.30594869850349,102.72700064037056,4055.359219678727
1600.0,1300.0,30,12,30.0,300.0,3651.60469157398,100.50444685204093,100.20116277976321,4057.2483044406463
1600.0,1400.0,20,10,25.0,300.0,3679.271727570022,103.06758048025345,102.48647548437033,4059.5515408573497
1550.0,1400.0,25,12,25.0,300.0,3675.712180693735,103.29147451058631,102.71239525437448,4059.5844751035443
1600.0,1400.0,30,12,25.0,400.0,3653.797958544963,100.4708319504346,100.16715334391952,4060.2445256406413
1600.0,1450.0,20,12,40.0,350.0,3680.3858166082714,103.0428818994484,102.46155386255403,4060.319143134306
1550.0,1400.0,30,15,35.0,350.0,3682.252515372781,101.84160899880612,101.40163720783336,4063.9341737292702
1550.0,1450.0,20,15,35.0,350.0,3681.6983942387606,103.21480414109537,102.63503040727096,4064.248898696643
1550.0,1400.0,25,15,25.0,350.0,3683.4189536503236,101.80673789639332,101.36640377004672,4065.2412545445786
1600.0,1400.0,20,12,40.0,300.0,3686.288525156576,103.02587280777722,102.44439121919777,4065.9889930822887
1550.0,1450.0,25,12,35.0,300.0,3635.581068558043,105.12566944815008,104.4067332179122,4066.719232087262
1550.0,1400.0,20,15,30.0,300.0,3685.104962264759,103.20013792948866,102.62023144243011,4067.413490874471
1550.0,1400.0,30,10,25.0,300.0,3682.5290002032198,103.39247288888117,102.81430971507628,4068.2880870380895
1550.0,1400.0,30,12,40.0,300.0,3687.9767740777493,103.35067639083051,102.77213394030692,4072.9349668057325
1600.0,1450.0,20,15,40.0,400.0,3694.0453350052576,101.53588876206922,101.09274616190605,4077.6330777990124
1600.0,1350.0,25,12,35.0,300.0,3698.380495692142,101.59503698840213,101.15250682089416,4081.480923180087
1600.0,1400.0,20,15,35.0,350.0,3698.3939653785283,101.52144685712537,101.07815479765696,4082.109331384945
1600.0,1450.0,25,10,40.0,350.0,3705.8875196240815,103.08254557692534,102.50157576483377,4086.3820879816385
1550.0,1450.0,30,10,30.0,300.0,3651.7900745584197,105.20188094500243,104.48353847769323,4086.451435848155
1600.0,1350.0,20,15,30.0,300.0,3702.7715437303013,101.50699874686116,101.06355719336844,4086.6179803376835
1550.0,1450.0,25,10,25.0,300.0,3660.8882708837564,105.07673087556472,104.35741378084683,4089.8136480116787
1550.0,1450.0,25,12,40.0,300.0,3663.6936990383506,105.03424833336668,104.31460088178788,4090.7296584975415
1600.0,1450.0,20,12,25.0,400.0,3709.1438920331216,101.54196399428182,101.0988842755181,4092.6789610503447
1600.0,1450.0,30,10,30.0,400.0,3710.742003571888,101.65415151606553,101.21223392600918,4093.412215832868
1600.0,1400.0,30,10,35.0,350.0,3711.5182736754246,101.6911696964721,101.24963596047522,4093.948005172271
1600.0,1300.0,25,15,25.0,300.0,3684.2299826544086,100.31458258687152,100.00907222516012,4094.6504469567535
1550.0,1450.0,20,12,30.0,300.0,3671.8753048162384,104.95497959313012,104.23471637958542,4095.463938936104
1550.0,1450.0,30,15,35.0,400.0,3717.7039651240857,101.73513966520383,101.29406211995287,4099.876999709819
1550.0,1350.0,25,15,25.0,300.0,3718.239469613257,101.70647185191078,101.26509684564002,4100.57630138023
