beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.082,10,550.0,400.0,0.003,60,0.05,0.12,2462.9450776306144,107.9867746106566,107.21477529425167,96.70625037255378,4.634683323092759,22.239662751770517,2910.2177273648554
0.082,10,550.0,400.0,0.003,60,0.05,0.16,2520.622642483665,107.9867746106566,107.15794674412965,96.0506599880953,4.634683323092759,12.573293255482398,2910.4924904686013
0.082,10,550.0,400.0,0.002,60,0.05,0.12,2483.625790050932,107.46408278153618,106.65014647448811,95.81368518891787,4.634348629978358,9.56122932439649,2911.4729202402073
0.082,11,550.0,425.0,0.0025,60,0.05,0.08,2391.6464158339404,107.03475359891334,106.26688338000795,96.37096640346431,4.592730633826614,17.522352776872243,2911.8691943323715
0.082,11,550.0,425.0,0.003,60,0.05,0.12,2467.042941006631,107.30826958148405,106.498269496108,95.76764223847033,4.592908359469039,9.311209952961354,2912.0505409978323
0.08,10,550.0,400.0,0.003,60,0.05,0.16,2453.3213181704687,107.1498443357576,106.35615624071056,95.6372699424243,4.520652702501038,8.51987139927267,2914.8672986039146
0.082,10,550.0,425.0,0.0025,60,0.05,0.08,2374.1311054512794,106.64801877895357,105.88717021994225,96.05623934687617,4.592730633826614,13.370758579278903,2916.8864726573443
0.08,10,550.0,400.0,0.002,60,0.05,0.08,2340.327685371531,106.64287592239947,105.92548966620022,96.44899847951531,4.520326351385884,19.45050469270019,2918.898331816027
0.08,11,550.0,400.0,0.002,60,0.05,0.12,2442.7029648771077,107.02210136559373,106.23576792288266,95.71322663977716,4.520326351385884,8.955636636224984,2919.169895096859
0.08,11,550.0,400.0,0.002,60,0.05,0.08,2353.788217016442,107.02210136559373,106.29808335332123,96.75966669966341,4.520326351385884,24.336783492662335,2919.26600912258
0.082,11,550.0,425.0,0.003,60,0.05,0.08,2378.8823549206727,107.30826958148405,106.56227781929151,96.83976328528068,4.592908359469039,25.3910153130833,2919.2891064672976
0.08,10,550.0,400.0,0.0025,60,0.05,0.08,2322.418192663782,106.89859932761938,106.20209738808612,96.89347545618283,4.52048956773734,27.25217827095004,2921.861802794245
0.082,10,550.0,400.0,0.002,60,0.05,0.08,2397.524450412654,107.46408278153618,106.71424037119307,96.88628331563831,4.634348629978358,25.807165011628975,2923.191332848487
0.08,11,550.0,425.0,0.003,60,0.05,0.08,2327.2016310934155,106.491886701594,105.77815466121265,96.40346074290652,4.479916494178848,19.09452533515959,2923.2436473924035
0.085,10,550.0,450.0,0.003,60,0.05,0.08,2442.469858090602,107.02443380914764,106.20480372183928,95.85961346231592,4.719160833998859,10.267692385797526,2924.069925875827
0.082,11,550.0,400.0,0.002,60,0.05,0.12,2520.487432804113,107.85373918998621,107.03257306391761,96.12776679890251,4.634348629978358,13.104217352770991,2925.1409168163464
0.082,10,550.0,400.0,0.0025,60,0.05,0.16,2534.4830337236635,107.72773158790518,106.87837686447904,95.61262282621945,4.6345160183722145,7.560004319401004,2927.941816073998
0.082,10,550.0,425.0,0.003,60,0.05,0.12,2449.753068888818,106.9205448958618,106.11771489450105,95.45471240345921,4.592908359469039,6.377620743418717,2928.964081689235
0.08,11,550.0,400.0,0.0025,60,0.05,0.16,2488.7142306817764,107.27873550896179,106.45808167521504,95.51757289610482,4.52048956773734,7.070406906327101,2930.5532651183153
0.082,11,550.0,425.0,0.002,60,0.05,0.08,2413.709516686182,106.75641594139633,105.9660533968568,95.89082229593018,4.592552819299112,10.967404855346203,2931.3386367833023
0.082,11,550.0,400.0,0.0025,60,0.05,0.12,2514.8819615001385,108.11834559512099,107.31850768134306,96.58093868196934,4.6345160183722145,19.754939960611306,2933.427166020497
0.082,11,550.0,400.0,0.002,60,0.07,0.08,2576.9388568999934,107.85373918998621,107.0343984234836,95.03732578985498,4.634348629978358,1.496577235699145,2934.378915645639
0.085,11,550.0,450.0,0.003,60,0.05,0.08,2479.9262850575947,107.42363132622818,106.59638807452431,96.18147483512412,4.719160833998859,14.025584099265032,2935.6589051432884
0.085,10,550.0,425.0,0.002,60,0.05,0.08,2499.4672871456896,107.55139895194647,106.71729607537964,96.17126933809475,4.7621179558535065,13.555766255568821,2937.845284766723
