beta,tau_r,r_max,c_max,k_c,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.08,9,600.0,425.0,0.003,2298.2623509498862,103.80651238904666,103.17208460760102,98.5502255557728,4.479916494178848,93.58667909924019,3889.0099896506595
0.08,9,650.0,350.0,0.0025,2222.968594294891,104.70543992944295,104.0630463866266,99.31894206196598,4.602006196812591,120.16111343326057,3891.0349973790812
0.078,11,600.0,400.0,0.002,2246.8925836815806,104.3564435915244,103.72762094275856,99.06717080549657,4.406353410372188,111.11208009798683,3893.366876575271
0.082,10,650.0,425.0,0.002,2578.757606394604,102.49685967744841,101.70157267366889,95.83836782241664,4.592552819299112,22.036697020695502,3894.6726033049663
0.085,8,650.0,350.0,0.002,2259.0096407210985,105.90987912742605,105.18270009365708,99.80590889261802,4.892214667564643,135.99636680762836,3894.7195726365167
0.08,8,650.0,375.0,0.0035,2308.8610375087824,103.69936808991439,103.06908260628325,98.47670761788142,4.561549761925887,91.25910601423533,3898.1191085820064
0.08,11,650.0,425.0,0.0025,2538.8536206194867,102.50828958239165,101.75776304581618,96.24499642762497,4.479743197399055,30.03175710649218,3898.7881305827727
0.078,10,600.0,400.0,0.002,2287.363626099698,103.9610878280486,103.33881873665027,98.72718402969936,4.406353410372188,99.27475130980815,3898.8076922615232
0.085,8,650.0,375.0,0.0035,2223.074397766185,105.53236425363094,104.83006269756083,99.73203329066179,4.849328365874239,134.98514089327966,3900.0837916516166
0.082,11,650.0,375.0,0.003,2235.5307673307125,105.5432522245193,104.84263953433988,99.71481210865271,4.676466647998723,133.9122677132113,3902.8207897952702
0.08,11,650.0,350.0,0.002,2225.395003779277,105.36437435974399,104.68889455465339,99.6719364697515,4.601863326630906,132.366243527479,3903.713305840804
0.078,11,650.0,375.0,0.0035,2234.6156464278147,104.2344342407993,103.61088896040569,99.05857838370706,4.446526425685726,111.64980031203979,3905.135986523493
0.08,9,650.0,400.0,0.0025,2502.5098400613697,102.66101101613263,101.95614635029915,96.76988219798275,4.52048956773734,41.70509659867838,3906.4727519896087
0.078,10,650.0,350.0,0.0025,2237.8843093778746,104.36685373492828,103.74594127513319,99.152625341806,4.48595186274261,114.6148443527608,3911.6371494998766
0.078,11,600.0,425.0,0.003,2282.3820730750836,103.85023823384891,103.23077292284961,98.70984631888066,4.366972985031881,99.41172486497753,3914.4226219372863
0.078,10,650.0,375.0,0.0035,2280.8042811330874,103.80671967737453,103.19024557486698,98.69036166213257,4.446526425685726,98.8253461535826,3914.582708860928
0.078,11,650.0,400.0,0.002,2520.3735798554426,102.55524363859458,101.84590086887195,96.58704131719509,4.406353410372188,37.40900048396903,3916.859210677642
0.078,9,650.0,350.0,0.0025,2283.472616370144,103.94057342758931,103.32669437802754,98.78575898980765,4.48595186274261,101.6632103114556,3917.417394985297
0.085,8,600.0,400.0,0.002,2247.387688392111,105.77413130465963,105.0638466899566,99.8315440894685,4.805474533849852,137.90101198235183,3917.9066786325016
0.08,8,600.0,425.0,0.0025,2415.7940925761977,103.15125936997259,102.50269231022362,97.74527312850304,4.479743197399055,67.96119522788591,3918.127925334427
0.08,11,600.0,400.0,0.002,2221.8196900784546,105.13275037822989,104.47474942019751,99.606257011122,4.520326351385884,130.62686134947936,3918.134879041099
0.078,10,600.0,425.0,0.002,2443.8726807548237,102.94857481701882,102.29410443364482,97.45129311131393,4.366635155331089,59.38839525409455,3919.4515734622723
0.08,10,650.0,425.0,0.0035,2495.344893958405,102.58484852279493,101.88228096927385,96.78043418943882,4.480089704331891,42.39256888056371,3920.3204493812746
0.082,10,650.0,350.0,0.002,2242.5758387173455,105.6911596474208,104.99321468335575,99.81867254398895,4.717965360339571,137.49455689695392,3920.8627078776535
0.082,8,600.0,425.0,0.0035,2240.791289664659,104.3970738838893,103.76205993292012,99.17569779566651,4.593085996270885,116.0690909643739,3922.1472370351935
