beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.079,10,525.0,400.0,0.0025,62,0.07,0.1,2384.7154979037177,107.44202919579139,106.86012126041814,95.90158785829868,4.463494845059901,8.155946232789946,2789.0479379665803
0.079,11,550.0,400.0,0.0035,62,0.07,0.1,2378.0817798844764,107.35045187760187,106.75961051787439,95.79657769277549,4.463816867475545,7.213972318385244,2789.119912879105
0.079,11,525.0,400.0,0.0025,62,0.07,0.1,2407.1238406345847,107.80307988517423,107.21536501542312,96.19418593972101,4.463494845059901,11.199713615328946,2789.1336362544807
0.08,11,575.0,375.0,0.003,62,0.08,0.06,2361.173687240525,107.61743484941879,107.00788535255602,96.56011563490958,4.561396869632572,15.752243006475275,2789.30308247459
0.081,10,550.0,400.0,0.003,62,0.07,0.08,2375.880637956153,107.56851101522365,106.95259357375753,96.27025960366655,4.577661845110503,12.359745759214665,2789.52065565579
0.079,10,575.0,375.0,0.0035,62,0.07,0.08,2316.684703602524,107.02701721863347,106.44718173516864,96.19298491465162,4.504031799288888,12.197020128723143,2789.5821582735716
0.082,10,575.0,400.0,0.0035,62,0.08,0.06,2368.0872741578773,107.242476417854,106.59835404503583,95.83797699929279,4.63485054418189,7.024413857973331,2789.5832754634007
0.079,11,575.0,375.0,0.0035,62,0.07,0.08,2336.4950082932123,107.42096993300399,106.83479289971663,96.5143240335837,4.504031799288888,16.256644276908425,2789.7394797737043
0.08,10,550.0,400.0,0.0035,62,0.07,0.1,2388.394272550479,107.39669004555869,106.79769095846775,95.70100988448415,4.520815755717722,6.176740297423045,2789.7582793678557
0.081,11,575.0,400.0,0.0035,62,0.08,0.06,2361.0945527767526,107.2363323241711,106.60008306342527,95.95958027613962,4.577826981705213,8.376145915299851,2789.7722052132835
0.079,12,525.0,425.0,0.003,62,0.08,0.08,2395.588382283664,107.38303007813725,106.78417116942879,95.54195635487552,4.423438694470172,4.184380286133797,2789.8802798728143
0.079,11,550.0,400.0,0.0035,62,0.07,0.08,2323.49698166599,107.35045187760187,106.77680012836973,96.56222587267573,4.463816867475545,17.140428348328214,2790.0160324723447
0.08,12,575.0,400.0,0.0035,62,0.08,0.06,2352.4580410401436,107.22298728833168,106.59473062194101,96.07559510244818,4.520815755717722,9.78990042568811,2790.1018572526987
0.081,11,525.0,425.0,0.003,62,0.08,0.08,2447.375423065246,107.86731115675165,107.24538536614841,95.65921289900488,4.536406382923186,4.650803786627984,2790.434237607719
0.081,11,525.0,425.0,0.0025,62,0.08,0.06,2377.6260992683287,107.59550138464219,106.97248336098683,96.36188701146088,4.536230872300129,12.837161601969541,2790.477143404559
