beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,m_amp,m_mu,m_sigma,sse,peak,mid_mean,late_mean,jump_pct,tail_err,dip_err,loss
0.08,11,500.0,375.0,0.003,62,0.07,0.08,0.01,40.0,4.0,2960.470583112676,105.88622051351226,100.35103623071939,92.05523562903146,4.561396869632572,10.453766727433063,246.65178245099415,6339.936322356876
0.079,10,500.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,5.0,3105.5207971964905,104.81534216696821,99.84692977869213,91.90078503355943,4.5040317992888435,11.630675682514973,207.25622657782512,6340.212721419095
0.08,10,500.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,5.0,2970.3005327558385,105.25342915029869,100.2727874179964,92.16629351743133,4.561549761925843,8.97595410206993,242.06715701752864,6342.271955034214
0.079,10,500.0,375.0,0.0035,62,0.08,0.08,0.01,40.0,3.0,2527.37406195226,105.5449924341943,102.16082111680885,92.96184465855278,4.504031799288888,3.883869190850138,344.26198997098237,6344.699141467061
0.078,11,500.0,375.0,0.003,62,0.07,0.1,0.01,40.0,3.0,2627.607628596845,105.38843006303051,101.80645249734332,92.75593023480414,4.446377438062865,4.619954171712881,322.120029405248,6344.777085307056
0.08,11,500.0,400.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2536.4250274337105,105.71951879515125,101.9171082879947,93.23239362463035,4.520815755717722,1.6385925671231913,346.8138659591152,6346.825343103084
0.078,10,500.0,400.0,0.0035,62,0.07,0.08,0.006,40.0,5.0,2876.332695587509,103.92047644938407,100.76544501544022,92.46326420839742,4.4068303182353885,6.28038816233519,256.44479394079764,6348.013580356248
0.078,11,500.0,375.0,0.0035,60,0.07,0.08,0.01,40.0,3.0,2597.8849113756437,105.46952581043354,101.9295213858974,93.05180986479411,4.446526425685726,2.26479972715923,334.78390110174644,6349.606592319062
0.078,10,500.0,375.0,0.0035,60,0.07,0.08,0.008,40.0,4.0,2825.2974200805857,104.76494840398217,101.14790303017239,92.39604069207306,4.446526425685726,6.804997974484692,276.23512506397606,6352.701340453798
0.078,10,500.0,375.0,0.003,60,0.07,0.08,0.01,40.0,3.0,2778.3359939158595,105.02228765390167,101.37857701621876,92.41602054566413,4.446377438062865,6.886773360155855,288.34234889970367,6354.259641149459
0.078,10,525.0,400.0,0.0035,62,0.07,0.08,0.008,40.0,3.0,2793.895193308348,104.04803006383153,101.21935970838112,92.44681769170427,4.406830318235411,6.945289262883742,275.0566670780293,6354.62454996833
0.078,10,500.0,400.0,0.0035,62,0.07,0.08,0.006,40.0,4.0,2499.173227771894,104.25942925437604,102.1701196306307,93.6464730945095,4.406830318235411,0.2652711996762254,348.9619791871923,6359.237014021321
0.08,10,500.0,375.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2418.224467488463,105.90407230559896,102.36413331994916,93.74613233580091,4.561396869632572,0.15149284601001756,377.79553506664706,6359.419616511718
0.078,11,500.0,375.0,0.0035,62,0.08,0.08,0.008,40.0,4.0,2670.438458840509,105.13301095480301,101.58074070519878,92.58372924580141,4.446526425685726,6.595517959979674,309.11848478490685,6360.880779901938
0.079,11,525.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2763.5673039595417,105.14136146789104,101.08690935508739,92.5430919531976,4.504031799288888,5.915223511051059,290.7358819584519,6364.128018400452
0.078,10,525.0,375.0,0.003,62,0.07,0.08,0.008,40.0,3.0,2563.27364075668,104.58864694964996,101.97146021039596,93.21245892516384,4.446377438062865,1.7460296001895237,335.9401102058056,6364.377497809379
0.08,10,500.0,375.0,0.003,62,0.07,0.08,0.008,40.0,4.0,2533.5295464374135,105.57032501434291,101.89835499964079,93.35513958782104,4.561396869632572,1.0955841264884996,350.1164681172477,6367.074414068182
0.078,11,500.0,375.0,0.003,62,0.07,0.08,0.01,40.0,4.0,3234.779290638198,104.99783093943762,99.49750721700961,91.52680482192416,4.446377438062865,16.455666769485173,179.71151582983336,6368.582716725537
0.078,10,500.0,375.0,0.0035,62,0.07,0.08,0.006,40.0,6.0,2953.196353925069,104.13093574612527,100.35014689960528,92.41837193608886,4.446526425139008,6.282286023110411,244.3100845023225,6369.226022881966
