beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,cool_amp,cool_mu,cool_sigma,sse,peak,mid_mean,late_mean,jump_pct,tail_err,dip_err,loss
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.1,41.0,4.0,2393.8827691651127,106.72479848610415,106.1267526701669,94.91943988269487,4.463655896520535,0.9698199906979608,856.8075417454206,8009.219070409341
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.1,43.0,5.0,2393.9329764484996,106.72473568328468,106.12669083142069,94.91938909098857,4.463655896520535,0.9696543057617535,856.8471130947772,8009.515771234763
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.08,39.0,4.0,2395.353327053068,106.72397345650462,106.11969935809786,95.07644740745968,4.463655896520535,2.029533464230668,856.5960506778724,8009.970016446345
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.12,39.0,3.0,2395.3429604353605,106.72391046648347,106.11963739563626,95.07639645328763,4.463655896520535,2.0292904762861275,856.5981685940853,8009.980677764617
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.08,39.0,3.0,2393.8789274275637,106.72620141558127,106.1281327904154,94.92057296430208,4.463655896520535,0.9735199223837511,856.979284753395,8010.043365749917
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.08,41.0,4.0,2393.9188885181356,106.72599545325349,106.12793017656409,94.92040661794096,4.463655896520535,0.972976288324766,856.9943482635891,8010.203402762605
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.12,41.0,4.0,2395.4025696687204,106.72360153077847,106.11933349931026,95.07614654725089,4.463655896520535,2.028098947257957,856.6207586810926,8010.216638858468
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.08,41.0,5.0,2395.3989495582873,106.72390198087679,106.11962903796538,95.07638957661017,4.463655896520535,2.029257684217555,856.6332269963282,8010.248139031553
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.05,39.0,4.0,2393.8969058315865,106.72652715552888,106.12845323430952,94.92083604922793,4.463655896520535,0.9743800234933382,857.0256058222793,8010.29231201965
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.12,41.0,3.0,2393.9326525570164,106.7259512432382,106.12788668549463,94.9203709117428,4.463655896520535,0.9728596176870702,857.0151146108799,8010.348139240606
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.12,39.0,2.0,2393.8881916141886,106.72654337505217,106.12846919013523,94.92084914898588,4.463655896520535,0.974422860568301,857.0430971755214,8010.386207892476
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.08,43.0,5.0,2393.9590552667414,106.72594521009685,106.12788070468586,94.92036598388769,4.463655896520535,0.9728435163950693,857.0260091181307,8010.440783373675
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.05,41.0,5.0,2393.925473733904,106.72648248154667,106.12840928011198,94.92079996037717,4.463655896520535,0.9742620155482781,857.0488479126275,8010.466772897787
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.05,39.0,5.0,2395.3871157515987,106.72466642036332,106.12038101644332,95.07700796139974,4.463655896520491,2.0322075728830855,856.7003423136255,8010.538036782611
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.12,43.0,5.0,2395.4627287105714,106.72352616874714,106.11925929825642,95.07608550241042,4.463655896520535,2.0278079444733077,856.6682386379241,8010.571639561179
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.12,43.0,4.0,2393.9860089613435,106.72573404271468,106.12767301399269,94.92019548632831,4.463655896520535,0.9722865160112333,857.0399460245193,8010.581802918625
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.12,45.0,5.0,2394.0310282345094,106.72568134724794,106.12762092146151,94.92015261456056,4.463655896520535,0.9721464834361253,857.0742611255897,8010.840336582416
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.1,41.0,3.0,2393.9544896452876,106.72675659636096,106.12867894477793,94.9210213578333,4.463655896520535,0.9749860844845295,857.1362054054082,8010.980421175259
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.1,39.0,2.0,2393.917459251001,106.72725004310799,106.12916436878758,94.9214198915045,4.463655896520535,0.976290161906243,857.1595267153127,8011.012203089056
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.1,39.0,3.0,2395.390334873257,106.72505593576922,106.12076417899388,95.07732305131289,4.463655896520535,2.033711477776274,856.7887145152761,8011.020059639605
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.1,43.0,4.0,2393.9989476384058,106.726575594323,106.12850088363125,94.92087516879299,4.463655896520535,0.9745079499163392,857.1568996959596,8011.175134896859
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.1,41.0,4.0,2395.439997083186,106.72479848610415,106.12051092889244,95.07711479385816,4.463655896520535,2.032717415077645,856.8075417454206,8011.216676361204
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.1,45.0,5.0,2394.0364643701027,106.72653168088081,106.12845747264628,94.92083944189588,4.463655896520535,0.9743911176494753,857.1854979003267,8011.390591771775
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.1,43.0,5.0,2395.490130767939,106.72473568328468,106.12044909357903,95.07706392229582,4.463655896520535,2.032474630019008,856.8471130947772,8011.512535187614
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.05,39.0,3.0,2393.948274854026,106.72791965503572,106.129823093748,94.92196070522786,4.463655896520535,0.978061232807496,857.2651857061142,8011.58049229494
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.08,41.0,3.0,2393.9763679476578,106.72756195469147,106.12947120912368,94.92167180770032,4.463655896520535,0.9771149393116423,857.2573061669826,8011.61284357994
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.08,39.0,2.0,2393.9467599457103,106.727956714944,106.129859551112,94.92199063674542,4.463655896520535,0.978159301285363,857.275965219787,8011.638315541801
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.05,41.0,4.0,2393.9732414279615,106.72779092614763,106.12969645771838,94.92185673693675,4.463655896520535,0.9777206272184971,857.2746020182236,8011.680502361694
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.08,43.0,4.0,2394.011929800324,106.72741715177993,106.12932875895714,94.92155485551237,4.463655896520535,0.9767319917775514,857.2738627561657,8011.768609749215
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.05,43.0,5.0,2393.9983465100645,106.72775952332972,106.12966553696808,94.92183134000797,4.463655896520535,0.9776374347684332,857.2943935914828,8011.82888394755
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.08,45.0,5.0,2394.041943722232,106.72738202058352,106.1292940297352,94.92152627365537,4.463655896520535,0.976638415196996,857.2967431491062,8011.940984973147
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.12,41.0,2.0,2393.9994256540567,106.72780239944586,106.12970774457548,94.92186600348322,4.463655896520535,0.9777509824481444,857.3149563878675,8011.947159828535
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.12,43.0,3.0,2394.0382740987006,106.72738610102594,106.12929821459284,94.92152977903923,4.463655896520535,0.9766498915255326,857.3022825017429,8011.969946641213
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.08,39.0,3.0,2395.437797221462,106.72620141558127,106.12189097258349,95.07824965698214,4.463655896520535,2.0381373471912423,856.979284753395,8012.059755512597
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.12,45.0,4.0,2394.080466194459,106.72723342029103,106.12914799845922,94.92140644564536,4.463655896520535,0.9762461499791236,857.3239415314159,8012.164096076128
